City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
0,Airai,TL,2021-12-12 22:29:03,-8.9266,125.4092,62.47,86,100,1.72,overcast clouds
1,Sinazongwe,ZM,2021-12-12 22:35:38,-17.2614,27.4618,80.92,45,20,3.13,few clouds
2,Freeport,US,2021-12-12 22:34:11,40.6576,-73.5832,47.17,48,1,5.01,clear sky
3,Samarai,PG,2021-12-12 22:35:38,-10.6167,150.6667,83.59,75,100,11.1,overcast clouds
4,Chaihe,CN,2021-12-12 22:35:39,44.7667,129.7,5.7,72,33,10.69,scattered clouds
5,Hobart,AU,2021-12-12 22:35:39,-42.8794,147.3294,63.27,62,20,4.0,few clouds
6,Rikitea,PF,2021-12-12 22:31:21,-23.1203,-134.9692,77.65,76,87,8.63,light rain
7,Fort Oglethorpe,US,2021-12-12 22:35:39,34.949,-85.2569,51.53,49,1,6.91,clear sky
8,Doha,QA,2021-12-12 22:32:40,25.2867,51.5333,66.18,72,0,9.22,clear sky
9,Marsa Matruh,EG,2021-12-12 22:31:26,31.3525,27.2453,57.4,62,0,3.44,clear sky
10,Wenling,CN,2021-12-12 22:35:40,28.3669,121.36,50.92,73,100,14.45,overcast clouds
11,Kapaa,US,2021-12-12 22:35:40,22.0752,-159.319,80.92,72,75,1.99,broken clouds
12,Ibra,OM,2021-12-12 22:35:41,22.6906,58.5334,59.88,64,7,2.89,clear sky
13,Acarau,BR,2021-12-12 22:35:41,-2.8856,-40.12,80.89,79,41,17.38,scattered clouds
14,Kautokeino,NO,2021-12-12 22:35:41,69.0125,23.0412,11.48,97,90,7.02,overcast clouds
15,Punta Arenas,CL,2021-12-12 22:31:44,-53.15,-70.9167,50.11,34,0,23.02,clear sky
16,Chokurdakh,RU,2021-12-12 22:35:07,70.6333,147.9167,-38.67,97,98,2.33,overcast clouds
17,Gorontalo,ID,2021-12-12 22:35:42,0.5412,123.0595,77.92,92,100,3.15,overcast clouds
18,Margate,GB,2021-12-12 22:35:43,51.3813,1.3862,53.31,83,98,1.99,overcast clouds
19,East London,ZA,2021-12-12 22:35:20,-33.0153,27.9116,71.85,95,100,7.87,light rain
20,Pevek,RU,2021-12-12 22:30:22,69.7008,170.3133,-32.93,96,13,1.54,few clouds
21,Lebu,CL,2021-12-12 22:29:02,-37.6167,-73.65,57.22,63,2,9.35,clear sky
22,Tuktoyaktuk,CA,2021-12-12 22:29:07,69.4541,-133.0374,-5.8,77,90,18.41,light snow
23,Tuatapere,NZ,2021-12-12 22:30:10,-46.1333,167.6833,62.82,54,54,4.74,broken clouds
24,Cape Town,ZA,2021-12-12 22:35:43,-33.9258,18.4232,66.61,79,20,1.99,few clouds
25,Peniche,PT,2021-12-12 22:35:44,39.3558,-9.3811,61.61,74,5,7.7,clear sky
26,Mataura,NZ,2021-12-12 22:35:44,-46.1927,168.8643,62.47,42,59,3.27,broken clouds
27,Ixtapa,MX,2021-12-12 22:35:45,20.7,-105.2,79.83,74,1,6.91,clear sky
28,Nizhniy Tsasuchey,RU,2021-12-12 22:35:45,50.5167,115.1333,13.15,70,100,6.17,overcast clouds
29,Bubaque,GW,2021-12-12 22:35:46,11.2833,-15.8333,81.21,73,21,13.27,few clouds
30,Comodoro Rivadavia,AR,2021-12-12 22:35:46,-45.8667,-67.5,62.46,55,75,4.61,light rain
31,Port Alfred,ZA,2021-12-12 22:33:03,-33.5906,26.891,71.02,96,100,14.23,overcast clouds
32,Victoria,HK,2021-12-12 22:25:57,22.2855,114.1577,66.33,71,65,1.99,broken clouds
33,Saskylakh,RU,2021-12-12 22:29:02,71.9167,114.0833,-44.95,100,70,3.09,broken clouds
34,Atuona,PF,2021-12-12 22:31:45,-9.8,-139.0333,79.11,78,15,18.97,few clouds
35,Zonguldak,TR,2021-12-12 22:35:47,41.25,31.8333,43.3,90,19,4.18,few clouds
36,Puerto Ayora,EC,2021-12-12 22:35:47,-0.7393,-90.3518,75.16,92,99,7.74,overcast clouds
37,Coos Bay,US,2021-12-12 22:35:47,43.3665,-124.2179,51.78,85,75,11.5,broken clouds
38,Rio Claro,BR,2021-12-12 22:35:48,-22.4114,-47.5614,81.52,67,82,8.05,broken clouds
39,Hilo,US,2021-12-12 22:35:48,19.7297,-155.09,79.11,59,75,5.75,broken clouds
40,Ushuaia,AR,2021-12-12 22:31:32,-54.8,-68.3,46.06,49,75,26.46,broken clouds
41,Qaanaaq,GL,2021-12-12 22:35:49,77.484,-69.3632,-3.71,72,79,3.78,broken clouds
42,Srednekolymsk,RU,2021-12-12 22:35:49,67.45,153.6833,-39.23,97,98,2.35,overcast clouds
43,Ponta Do Sol,PT,2021-12-12 22:35:49,32.6667,-17.1,65.01,77,46,1.7,scattered clouds
44,Egvekinot,RU,2021-12-12 22:35:14,66.3167,-179.1667,-22.72,81,1,6.51,clear sky
45,Kodiak,US,2021-12-12 22:36:50,57.79,-152.4072,15.28,57,1,34.52,clear sky
46,Sahuaripa,MX,2021-12-12 22:36:50,29.05,-109.2333,78.55,25,3,2.64,clear sky
47,Namatanai,PG,2021-12-12 22:33:37,-3.6667,152.4333,84.76,68,94,4.68,overcast clouds
48,Paramonga,PE,2021-12-12 22:36:51,-10.6667,-77.8333,69.46,81,52,9.06,broken clouds
49,Maniitsoq,GL,2021-12-12 22:36:51,65.4167,-52.9,19.63,65,7,5.08,clear sky
50,Piran,SI,2021-12-12 22:36:52,45.5278,13.5706,45.21,51,95,6.91,overcast clouds
51,Corinto,GR,2021-12-12 22:36:52,37.9407,22.9573,56.68,84,73,7.87,broken clouds
52,Ancud,CL,2021-12-12 22:36:52,-41.8697,-73.8203,58.42,69,38,9.35,scattered clouds
53,Avarua,CK,2021-12-12 22:35:27,-21.2078,-159.775,73.45,94,75,5.75,heavy intensity rain
54,Dunedin,NZ,2021-12-12 22:36:53,-45.8742,170.5036,64.8,59,62,5.01,broken clouds
55,Odweyne,SO,2021-12-12 22:36:53,9.4092,45.064,66.24,47,4,17.49,clear sky
56,Cherskiy,RU,2021-12-12 22:30:21,68.75,161.3,-43.15,100,50,1.59,scattered clouds
57,San Patricio,US,2021-12-12 22:35:23,28.017,-97.5169,68.09,35,0,8.25,clear sky
58,Curuca,BR,2021-12-12 22:36:54,-0.7289,-47.8481,79.0,84,57,7.61,broken clouds
59,Aripuana,BR,2021-12-12 22:36:55,-9.1667,-60.6333,75.47,95,100,2.71,overcast clouds
60,Saint-Georges,GD,2021-12-12 22:36:55,12.0564,-61.7485,76.68,88,75,9.22,broken clouds
61,Nyurba,RU,2021-12-12 22:36:55,63.2842,118.3319,-23.28,97,100,6.96,overcast clouds
62,Vaini,TO,2021-12-12 22:36:56,-21.2,-175.2,82.56,83,40,13.8,light rain
63,Tasiilaq,GL,2021-12-12 22:33:52,65.6145,-37.6368,41.16,80,100,16.96,light rain
64,Nikolskoye,RU,2021-12-12 22:29:05,59.7035,30.7861,23.4,98,100,3.91,light snow
65,New Norfolk,AU,2021-12-12 22:36:56,-42.7826,147.0587,62.92,54,11,3.0,few clouds
66,Coihaique,CL,2021-12-12 22:35:01,-45.5752,-72.0662,55.35,58,75,5.75,broken clouds
67,Santa Luzia,BR,2021-12-12 22:36:57,-19.7697,-43.8514,77.9,71,40,6.91,moderate rain
68,Katsuura,JP,2021-12-12 22:36:57,35.1333,140.3,51.91,62,80,14.97,broken clouds
69,Butaritari,KI,2021-12-12 22:35:12,3.0707,172.7902,82.62,71,74,16.37,broken clouds
70,Morant Bay,JM,2021-12-12 22:36:57,17.8815,-76.4093,83.82,80,9,8.68,clear sky
71,Kongolo,CD,2021-12-12 22:36:58,-5.3833,27.0,70.34,97,100,1.43,light rain
72,Mount Gambier,AU,2021-12-12 22:36:58,-37.8333,140.7667,69.71,64,31,13.8,scattered clouds
73,Jamestown,US,2021-12-12 22:27:34,42.097,-79.2353,42.39,50,1,5.99,clear sky
74,Shadrinsk,RU,2021-12-12 22:36:58,56.0852,63.6335,14.36,82,37,9.57,scattered clouds
75,Aswan,EG,2021-12-12 22:34:16,24.0934,32.907,78.1,44,0,17.27,clear sky
76,Esperance,AU,2021-12-12 22:30:10,-33.8667,121.9,55.24,53,68,4.38,broken clouds
77,Evensk,RU,2021-12-12 22:36:59,61.95,159.2333,10.45,52,100,21.77,overcast clouds
78,Ilulissat,GL,2021-12-12 22:31:23,69.2167,-51.1,19.42,68,90,9.22,overcast clouds
79,Tautira,PF,2021-12-12 22:35:05,-17.7333,-149.15,86.02,79,87,10.67,light rain
80,Kholodnyy,RU,2021-12-12 22:37:00,62.7167,147.95,-11.38,98,100,3.89,overcast clouds
81,Ascension,US,2021-12-12 22:37:00,30.2169,-90.9001,62.82,46,1,4.61,clear sky
82,Mehamn,NO,2021-12-12 22:37:00,71.0357,27.8492,31.95,86,75,16.11,light snow
83,Shingu,JP,2021-12-12 22:37:01,33.7333,135.9833,47.59,69,5,6.06,clear sky
84,Busselton,AU,2021-12-12 22:37:01,-33.65,115.3333,55.81,60,100,8.81,overcast clouds
85,Birsk,RU,2021-12-12 22:37:02,55.4211,55.5428,5.99,94,68,2.35,broken clouds
86,Cristalina,BR,2021-12-12 22:37:02,-16.7686,-47.6136,65.88,95,100,4.56,light rain
87,Avera,US,2021-12-12 22:38:03,33.194,-82.5271,58.66,48,0,6.51,clear sky
88,Bluff,NZ,2021-12-12 22:38:03,-46.6,168.3333,62.8,71,22,7.27,few clouds
89,Ales,FR,2021-12-12 22:38:03,44.1333,4.0833,42.08,89,46,4.14,scattered clouds
90,Kenai,US,2021-12-12 22:38:04,60.5544,-151.2583,6.85,56,1,14.97,haze
91,Upernavik,GL,2021-12-12 22:30:19,72.7868,-56.1549,6.24,92,100,10.6,overcast clouds
92,Quatre Cocos,MU,2021-12-12 22:38:04,-20.2078,57.7625,75.31,72,89,12.17,overcast clouds
93,Mahebourg,MU,2021-12-12 22:38:05,-20.4081,57.7,75.49,88,75,17.27,light intensity shower rain
94,Bani,DO,2021-12-12 22:38:05,18.2833,-70.3333,81.86,68,1,14.65,clear sky
95,Cidreira,BR,2021-12-12 22:38:05,-30.1811,-50.2056,71.49,87,1,13.94,clear sky
96,Adrar,MR,2021-12-12 22:38:06,20.5022,-10.0711,67.35,16,43,10.71,scattered clouds
97,Chuy,UY,2021-12-12 22:38:06,-33.6971,-53.4616,68.59,76,0,13.0,clear sky
98,Kavieng,PG,2021-12-12 22:29:03,-2.5744,150.7967,84.36,74,100,5.53,overcast clouds
99,Vila Velha,BR,2021-12-12 22:32:38,-20.3297,-40.2925,80.55,87,0,10.0,light rain
100,Kahului,US,2021-12-12 22:38:07,20.8947,-156.47,80.62,76,40,20.71,scattered clouds
101,Karratha,AU,2021-12-12 22:38:07,-20.7377,116.8463,89.1,22,0,10.87,light rain
102,Maxixe,MZ,2021-12-12 22:38:07,-23.8597,35.3472,77.72,96,12,6.91,few clouds
103,Sola,VU,2021-12-12 22:35:10,-13.8833,167.55,81.09,81,100,17.83,overcast clouds
104,Vanimo,PG,2021-12-12 22:31:26,-2.6741,141.3028,82.4,78,100,5.55,overcast clouds
105,Cabo San Lucas,MX,2021-12-12 22:38:08,22.8909,-109.9124,79.52,66,20,4.61,few clouds
106,Matay,EG,2021-12-12 22:38:08,28.419,30.7792,63.21,52,100,5.88,overcast clouds
107,Makakilo City,US,2021-12-12 22:33:59,21.3469,-158.0858,80.92,60,75,13.8,broken clouds
108,Ribeira Grande,PT,2021-12-12 22:38:09,38.5167,-28.7,58.69,53,100,18.77,overcast clouds
109,Mar Del Plata,AR,2021-12-12 22:38:09,-38.0023,-57.5575,73.42,85,75,1.99,broken clouds
110,Kesinga,IN,2021-12-12 22:38:09,20.2,83.2333,61.11,73,21,1.14,few clouds
111,Brae,GB,2021-12-12 22:38:10,60.3964,-1.353,48.11,82,100,23.71,overcast clouds
112,Kidal,ML,2021-12-12 22:38:10,18.4411,1.4078,72.82,11,95,7.81,overcast clouds
113,Dikson,RU,2021-12-12 22:38:10,73.5069,80.5464,-16.83,95,96,15.1,overcast clouds
114,Yellowknife,CA,2021-12-12 22:35:40,62.456,-114.3525,9.12,85,90,8.05,light snow
115,Carnarvon,AU,2021-12-12 22:38:11,-24.8667,113.6333,68.07,73,3,14.97,clear sky
116,Harper,LR,2021-12-12 22:36:33,4.375,-7.7169,79.9,83,39,7.61,scattered clouds
117,Poum,NC,2021-12-12 22:38:11,-20.2333,164.0167,77.67,91,100,14.36,heavy intensity rain
118,Syracuse,IT,2021-12-12 22:38:12,37.0881,15.2792,51.39,73,65,7.18,broken clouds
119,Opelousas,US,2021-12-12 22:34:48,30.5335,-92.0815,62.62,36,1,3.44,clear sky
120,Amahai,ID,2021-12-12 22:38:12,-3.3333,128.9167,81.99,77,98,2.53,overcast clouds
121,Hasaki,JP,2021-12-12 22:31:30,35.7333,140.8333,50.22,52,59,21.27,broken clouds
122,Castro,BR,2021-12-12 22:38:12,-24.7911,-50.0119,71.85,49,92,4.38,overcast clouds
123,Peterhead,GB,2021-12-12 22:38:13,57.5058,-1.7981,52.2,84,100,32.66,overcast clouds
124,Hermanus,ZA,2021-12-12 22:38:13,-34.4187,19.2345,64.9,88,62,7.61,broken clouds
125,Salinopolis,BR,2021-12-12 22:38:14,-0.6136,-47.3561,81.73,79,34,13.4,scattered clouds
126,Chapais,CA,2021-12-12 22:38:14,49.7834,-74.8492,26.38,95,100,11.07,light snow
127,Llanes,ES,2021-12-12 22:38:14,43.4198,-4.7549,50.9,67,53,4.32,broken clouds
128,Port Blair,IN,2021-12-12 22:38:14,11.6667,92.75,79.11,73,66,12.84,broken clouds
129,Anisoc,GQ,2021-12-12 22:38:15,1.8658,10.7689,70.74,98,58,2.13,broken clouds
130,Pangody,RU,2021-12-12 22:38:15,65.85,74.4859,-27.44,99,19,5.23,few clouds
131,Barrow,US,2021-12-12 22:31:23,71.2906,-156.7887,-12.98,77,1,13.8,clear sky
132,Albany,US,2021-12-12 22:38:16,42.6001,-73.9662,40.8,44,0,9.08,clear sky
133,Fortuna,US,2021-12-12 22:32:48,40.5982,-124.1573,52.66,77,40,5.01,scattered clouds
134,Narasannapeta,IN,2021-12-12 22:31:33,18.4167,84.05,68.79,84,26,7.49,scattered clouds
135,Port Elizabeth,ZA,2021-12-12 22:28:35,-33.918,25.5701,71.1,88,90,4.61,overcast clouds
136,Farafangana,MG,2021-12-12 22:39:16,-22.8167,47.8333,73.76,83,24,4.65,few clouds
137,Hambantota,LK,2021-12-12 22:32:49,6.1241,81.1185,78.08,81,100,14.29,moderate rain
138,Kamenka,RU,2021-12-12 22:32:45,51.3223,42.7678,17.74,66,55,12.08,broken clouds
139,Grindavik,IS,2021-12-12 22:29:11,63.8424,-22.4338,41.47,87,75,19.57,broken clouds
140,Georgetown,MY,2021-12-12 22:38:27,5.4112,100.3354,79.9,82,20,0.0,few clouds
141,Saldanha,ZA,2021-12-12 22:31:33,-33.0117,17.9442,62.65,90,100,11.86,overcast clouds
142,Severo-Kurilsk,RU,2021-12-12 22:39:17,50.6789,156.125,33.19,87,80,12.46,broken clouds
143,Rwamagana,RW,2021-12-12 22:39:18,-1.9487,30.4347,65.64,94,100,2.28,overcast clouds
144,Petropavlovka,RU,2021-12-12 22:39:18,50.6114,105.3196,-1.21,92,11,2.98,few clouds
145,Broken Hill,AU,2021-12-12 22:39:18,-31.95,141.4333,83.91,15,5,12.66,clear sky
146,Sosnovka,RU,2021-12-12 22:39:19,56.255,51.2842,5.38,94,31,3.44,scattered clouds
147,Vardo,NO,2021-12-12 22:30:15,70.3705,31.1107,30.4,84,89,26.51,overcast clouds
148,Hithadhoo,MV,2021-12-12 22:39:19,-0.6,73.0833,80.83,79,100,11.1,overcast clouds
149,Beira,MZ,2021-12-12 22:39:20,-19.8436,34.8389,82.49,78,0,16.11,clear sky
150,Arraial Do Cabo,BR,2021-12-12 22:32:19,-22.9661,-42.0278,76.69,89,86,22.39,light rain
151,Mao,ES,2021-12-12 22:39:20,39.8885,4.2658,46.96,87,0,2.3,clear sky
152,Touros,BR,2021-12-12 22:39:21,-5.1989,-35.4608,83.3,76,8,15.59,clear sky
153,Aykhal,RU,2021-12-12 22:32:43,66.0,111.5,-48.59,100,98,6.08,overcast clouds
154,Saint Anthony,US,2021-12-12 22:36:18,45.0205,-93.218,35.94,65,1,1.99,light snow
155,Ajdabiya,LY,2021-12-12 22:39:21,30.7554,20.2263,59.07,62,1,7.78,clear sky
156,Novyy Urengoy,RU,2021-12-12 22:39:22,66.0833,76.6333,-24.59,94,21,7.85,few clouds
157,Flinders,AU,2021-12-12 22:39:22,-34.5833,150.8552,68.81,71,13,4.65,few clouds
158,Port Hedland,AU,2021-12-12 22:32:38,-20.3167,118.5667,84.25,79,40,10.36,scattered clouds
159,Dingle,PH,2021-12-12 22:39:22,10.9995,122.6711,76.8,92,88,8.25,overcast clouds
160,Oksfjord,NO,2021-12-12 22:39:23,70.2396,22.3479,32.92,96,100,6.17,light snow
161,Kolpny,RU,2021-12-12 22:39:23,52.2282,37.0368,30.33,65,100,11.07,overcast clouds
162,Rovaniemi,FI,2021-12-12 22:39:24,66.5,25.7167,26.01,100,90,6.91,fog
163,Paita,PE,2021-12-12 22:38:31,-5.0892,-81.1144,73.96,80,17,11.97,few clouds
164,Akhtubinsk,RU,2021-12-12 22:39:24,48.2795,46.1722,24.49,54,6,11.48,clear sky
165,Pangnirtung,CA,2021-12-12 22:39:25,66.1451,-65.7125,-4.63,70,56,7.54,broken clouds
166,Innisfail,AU,2021-12-12 22:39:25,-17.5333,146.0333,85.87,65,17,7.58,few clouds
167,Lata,PT,2021-12-12 22:32:43,40.1629,-8.3327,58.93,80,12,4.34,few clouds
168,Kungurtug,RU,2021-12-12 22:39:25,50.5994,97.5228,-6.86,95,73,1.21,broken clouds
169,Mahanoro,MG,2021-12-12 22:39:26,-19.9,48.8,73.8,87,19,1.68,light rain
170,Igarka,RU,2021-12-12 22:39:26,67.4667,86.5833,-16.87,90,100,2.95,overcast clouds
171,Yulara,AU,2021-12-12 22:39:26,-25.2406,130.9889,73.24,78,99,5.75,overcast clouds
172,Vila Do Maio,CV,2021-12-12 22:39:27,15.1333,-23.2167,74.19,74,100,13.51,overcast clouds
173,Blagoyevo,RU,2021-12-12 22:40:27,63.3667,47.9167,3.67,94,62,5.23,broken clouds
174,Keflavik,IS,2021-12-12 22:40:27,64.0049,-22.5624,41.43,87,75,17.27,broken clouds
175,Rocha,UY,2021-12-12 22:40:28,-34.4833,-54.3333,70.05,74,66,8.19,broken clouds
176,Faanui,PF,2021-12-12 22:40:28,-16.4833,-151.75,80.96,72,42,10.0,light rain
177,Neiafu,TO,2021-12-12 22:40:29,-18.65,-173.9833,81.28,83,75,2.3,light rain
178,Marsh Harbour,BS,2021-12-12 22:40:29,26.5412,-77.0636,76.55,77,4,11.23,clear sky
179,Saint-Joseph,RE,2021-12-12 22:40:29,-21.3667,55.6167,75.58,73,78,12.15,broken clouds
180,Saint-Philippe,RE,2021-12-12 22:40:30,-21.3585,55.7679,76.59,74,80,11.32,broken clouds
181,Khatanga,RU,2021-12-12 22:40:30,71.9667,102.5,-51.12,99,80,3.85,broken clouds
182,Ilhabela,BR,2021-12-12 22:40:30,-23.7781,-45.3581,75.4,89,86,4.27,overcast clouds
183,Kilindoni,TZ,2021-12-12 22:40:31,-7.9139,39.6668,79.14,78,97,8.05,moderate rain
184,Henties Bay,NA,2021-12-12 22:33:58,-22.116,14.2845,60.85,88,0,6.49,clear sky
185,Adre,TD,2021-12-12 22:40:31,13.4667,22.2,70.39,20,80,10.07,broken clouds
186,Bambous Virieux,MU,2021-12-12 22:39:58,-20.3428,57.7575,75.45,88,75,17.27,light intensity shower rain
187,Hobyo,SO,2021-12-12 22:32:41,5.3505,48.5268,78.21,80,51,21.12,broken clouds
188,Flin Flon,CA,2021-12-12 22:40:32,54.7682,-101.865,10.24,85,90,3.44,overcast clouds
189,Lasa,IT,2021-12-12 22:40:32,46.6166,10.7002,29.35,93,60,6.73,broken clouds
190,Tigzirt,DZ,2021-12-12 22:40:32,36.8886,4.1198,51.6,72,2,7.14,clear sky
191,Praia Da Vitoria,PT,2021-12-12 22:40:33,38.7333,-27.0667,57.45,72,40,20.69,scattered clouds
192,Lufilufi,WS,2021-12-12 22:40:33,-13.8745,-171.5986,89.38,71,73,11.52,broken clouds
193,Lagoa,PT,2021-12-12 22:40:33,39.05,-27.9833,57.74,53,100,22.57,overcast clouds
194,Siniscola,IT,2021-12-12 22:40:34,40.5719,9.6922,42.35,59,3,5.82,clear sky
195,Along,IN,2021-12-12 22:40:34,28.1667,94.7667,49.48,75,8,1.59,clear sky
196,Hastings,GB,2021-12-12 22:40:34,50.8552,0.5729,53.98,83,80,18.61,broken clouds
197,San Pedro Jocopilas,GT,2021-12-12 22:40:35,15.0944,-91.1514,64.15,70,46,6.51,scattered clouds
198,Haines Junction,CA,2021-12-12 22:40:35,60.7522,-137.5108,-5.85,54,99,8.05,overcast clouds
199,Yorkton,CA,2021-12-12 22:40:35,51.2167,-102.4677,33.64,69,75,14.97,broken clouds
200,Altay,CN,2021-12-12 22:40:36,47.8667,88.1167,10.87,64,86,5.37,overcast clouds
201,Bagu,PH,2021-12-12 22:40:36,18.4228,121.3583,73.13,82,100,10.29,overcast clouds
202,Codrington,AU,2021-12-12 22:40:36,-38.2667,141.9667,84.02,23,63,16.11,broken clouds
203,Sinnamary,GF,2021-12-12 22:40:37,5.3833,-52.95,77.09,90,100,10.58,overcast clouds
204,Cortez,US,2021-12-12 22:40:37,37.3489,-108.5859,43.56,62,1,8.05,clear sky
205,Severo-Yeniseyskiy,RU,2021-12-12 22:40:37,60.3725,93.0408,-16.65,100,98,2.71,overcast clouds
206,Yala,TH,2021-12-12 22:40:38,6.3333,101.25,71.42,96,62,1.63,broken clouds
207,Caravelas,BR,2021-12-12 22:40:38,-17.7125,-39.2481,76.62,87,51,9.08,broken clouds
208,Tres Arroyos,AR,2021-12-12 22:40:38,-38.3739,-60.2798,68.07,33,21,6.33,few clouds
209,Svetlyy,RU,2021-12-12 22:40:39,54.675,20.1347,30.25,95,100,8.57,overcast clouds
210,Strezhevoy,RU,2021-12-12 22:40:39,60.7333,77.5889,-2.22,99,86,2.3,overcast clouds
211,Aguimes,ES,2021-12-12 22:35:04,27.9054,-15.4461,61.43,74,20,10.36,few clouds
212,Longyearbyen,SJ,2021-12-12 22:35:06,78.2186,15.6401,31.84,74,75,18.41,broken clouds
213,Nome,US,2021-12-12 22:41:40,64.5011,-165.4064,-12.93,64,1,6.91,clear sky
214,Lorengau,PG,2021-12-12 22:33:58,-2.0226,147.2712,82.96,82,100,15.28,overcast clouds
215,Amapala,HN,2021-12-12 22:41:40,13.2922,-87.6539,95.76,51,2,3.06,clear sky
216,Aklavik,CA,2021-12-12 22:41:40,68.2191,-135.0107,-3.17,90,100,21.81,overcast clouds
217,Bonavista,CA,2021-12-12 22:41:41,48.6499,-53.1147,45.12,73,100,30.42,overcast clouds
218,El Naranjo,MX,2021-12-12 22:41:41,21.4667,-98.6,68.52,51,95,2.24,overcast clouds
219,Fairbanks,US,2021-12-12 22:40:47,64.8378,-147.7164,-8.77,69,1,3.44,light snow
